Step,Realized_PnL,Unrealized_PnL,Total_PnL,Inventory,Spread
0,-20.0,0.0,-20.0,0,
1,-221.82020049311927,197.82020049311927,-24.0,2,4.0
2,-221.82020049311927,202.48453911759202,-19.335661375527252,2,-0.5499999999999972
3,66.99172547206086,-97.92064198839337,-30.928916516332507,-1,
4,-335.32036706346275,295.5465694016427,-39.773797661820026,3,
5,-639.281373973154,587.1470138193826,-52.13436015377147,6,
6,-649.081373973154,585.0535747413476,-64.0277992318064,6,
7,-649.081373973154,599.8391009174483,-49.24227305570571,6,2.6500000000000057
8,-649.081373973154,593.8541349481277,-55.22723902502628,6,4.650000000000006
9,-658.881373973154,581.3370292374688,-77.54434473568529,6,
10,-474.00594909087056,386.75084976456696,-87.2550993263036,4,
11,-289.4020538187362,192.40389527213438,-96.99815854660181,2,
12,-774.705680063365,669.1350767424802,-105.57060332088474,7,
13,-682.3304991911057,575.0260852335557,-107.30441395754997,6,
14,-877.4585137158937,767.312058099152,-110.14645561674172,8,
15,-977.2059158579045,862.6266192780978,-114.57929657980674,9,
16,-883.7928061632535,763.0048775572076,-120.78792860604597,8,
17,-982.3694159684151,852.0894882464537,-130.27992772196137,9,
18,-890.3507176703868,751.8495863842261,-138.50113128616067,8,
19,-986.6669316148314,849.7459255000018,-136.92100611482954,9,
20,-1083.3563960301885,936.269644153572,-147.08675187661652,10,
21,-1554.13524690594,1387.9615526272544,-166.17369427868562,15,3.25
22,-1653.7737940781235,1489.2167547549366,-164.55703932318693,16,
23,-1563.7813002609578,1402.3874072574856,-161.39389300347216,15,
24,-1573.4063002609578,1388.7504058964505,-184.65589436450728,15,
25,-1573.4063002609578,1386.6925667733055,-186.71373348765223,15,3.5625
26,-1573.4063002609578,1290.4478491878226,-282.95845107313517,15,4.0625
27,-1488.4485794195214,1288.283091780109,-200.16548763941228,14,
28,-1402.4125412804924,1204.9184958073752,-197.49404547311724,13,
29,-1315.0743188247952,1123.208669468365,-191.86564935643014,12,
