,Date,Signal,AAPL_Price,MSFT_Price
0,2020-02-03,1,74.72793579101562,166.45819091796875
1,2020-03-06,0,70.14151763916016,154.6513671875
2,2020-03-13,1,67.45748138427734,152.0287628173828
3,2020-03-16,0,58.779293060302734,129.6211395263672
4,2020-03-20,1,55.63173294067383,131.46853637695312
5,2020-07-15,0,95.12002563476562,199.68603515625
6,2020-07-20,1,95.73564910888672,203.1031036376953
7,2020-07-30,0,93.62594604492188,195.71231079101562
8,2020-08-21,-1,121.27304077148438,204.96034240722656
9,2020-08-25,0,121.71669006347656,208.27981567382812
10,2020-09-01,-1,130.8387451171875,218.6711883544922
11,2020-09-02,0,128.1279754638672,222.88546752929688
12,2020-12-10,-1,120.37848663330078,203.08522033691406
13,2020-12-11,0,119.5677719116211,205.7284393310547
14,2020-12-15,-1,124.91075134277344,206.56776428222656
15,2020-12-18,0,123.7190933227539,210.87020874023438
16,2020-12-22,-1,128.81790161132812,216.03126525878906
17,2021-01-28,0,133.90689086914062,230.4918975830078
18,2021-08-19,1,143.96701049804688,288.16180419921875
19,2021-08-30,0,150.26742553710938,294.7839050292969
20,2021-09-14,1,145.360595703125,291.0942077636719
21,2021-09-28,0,139.2662811279297,275.296142578125
22,2021-10-01,1,139.9924774169922,280.7142639160156
23,2021-12-06,0,162.47694396972656,317.307861328125
24,2022-02-17,-1,166.18719482421875,283.398193359375
25,2022-02-22,0,161.6999053955078,280.464111328125
26,2022-04-11,-1,163.1071014404297,278.0661315917969
27,2022-04-27,0,154.0734405517578,276.07757568359375
28,2022-07-14,-1,146.31727600097656,248.2493133544922
29,2022-07-18,0,144.93760681152344,248.41542053222656
30,2022-07-19,-1,148.8105926513672,253.57427978515625
31,2022-07-28,0,155.06854248046875,270.06689453125
32,2022-08-01,-1,159.168212890625,271.6301574707031
33,2022-11-30,0,146.32862854003906,250.5181427001953
34,2022-12-05,-1,144.94473266601562,245.66761779785156
35,2022-12-07,0,139.32012939453125,239.94325256347656
36,2023-01-24,-1,140.891845703125,237.6554718017578
37,2023-01-26,0,142.30545043945312,243.50750732421875
38,2023-01-27,-1,144.25277709960938,243.66461181640625
39,2023-01-31,0,142.63162231445312,243.32093811035156
40,2023-02-03,-1,152.7242889404297,253.67001342773438
41,2023-02-07,0,152.87252807617188,262.7132263183594
42,2023-02-16,-1,152.1753387451172,258.0458679199219
43,2023-03-02,0,144.4532470703125,247.17872619628906
44,2023-03-03,-1,149.52210998535156,251.29327392578125
45,2023-03-15,0,151.46253967285156,261.28436279296875
46,2023-03-21,-1,157.6897430419922,269.49383544921875
47,2023-03-22,0,156.2542266845703,268.0271301269531
48,2023-04-19,-1,165.95639038085938,283.93414306640625
49,2023-04-21,0,163.3724365234375,281.2862243652344
50,2023-04-24,-1,163.6793212890625,277.35870361328125
51,2023-04-26,0,162.12501525878906,290.745849609375
52,2023-07-27,-1,191.55545043945312,326.2540283203125
53,2023-07-28,0,194.1429901123047,333.80072021484375
54,2023-07-31,-1,194.7576446533203,331.38385009765625
55,2023-08-04,0,180.4221954345703,323.3537292480469
56,2023-10-25,1,169.8551025390625,336.7812194824219
57,2023-10-27,0,166.9960479736328,326.045166015625
58,2023-10-30,1,169.0509796142578,333.45953369140625
59,2023-12-05,0,192.26565551757812,369.0150451660156
60,2023-12-22,1,192.44459533691406,371.0556640625
